namaproduk,harga,daerah,kamar,toilet,carport,luastanah,luasbangunan
Rumah Taman Kopo Indah 1 Greenville,"Rp 1,1 Miliar","Taman Kopo Indah, Bandung",2,1,0,86 m²,80 m²
Turun Harga Rumah Siap Huni Setrasari,"Rp 5,5 Miliar","Setra Sari, Bandung",4,5,0,380 m²,450 m²
Ngebut! Rumah Mewah Dago Pojok Siap Huni,"Rp 3,75 Miliar","Dago, Bandung",5,5,0,235 m²,620 m²
"Rumah Njop 6. 7m , Harga Jual 4, 2m Setiabudi Bandung Utara.","Rp 4,2 Miliar","Setiabudi, Bandung",5,3,3,521 m²,250 m²
Rumah Hits Modern Cluster Flora Summarecon Bandung (Freya),"Rp 2,24 Miliar","Gede Bage, Bandung",3,2,1,105 m²,115 m²
"Strategis Main Road, Jl. Sarijadi Raya 35, Bandung","Rp 2,9 Miliar","Bandung Kota, Bandung",7,2,1,135 m²,300 m²
Rumah Siap Huni & terawat di Cluster Kalijati Antapani.,"Rp 1,9 Miliar","Antapani, Bandung",5,3,2,160 m²,200 m²
"Rumah Murah Jarang Ada ,Cantik Mininalis di kopo permai Kota Bandung","Rp 1,65 Miliar","Bandung Kota, Bandung",3,2,2,203 m²,165 m²
Rumah Luxury di Budi Indah Bandung,"Rp 5,75 Miliar","Setiabudi, Bandung",6,5,2,450 m²,500 m²
Rumah Podomoro Park Komplek Mewah di Bandung Selatan,"Rp 2,45 Miliar","Bojongsoang, Bandung",3,3,1,126 m²,127 m²
Cepat Rumah Terawat di Batununggal,"Rp 2,75 Miliar","Batununggal, Bandung",2,1,0,180 m²,200 m²
"Cepat Rumah Siap Huni Dalam Cluster, Summarecon Bandung","Rp 1,75 Miliar","Soekarno Hatta, Bandung",2,2,1,105 m²,75 m²
"Rumah dalam komplek di Antapani Pelangi, Bandung 2 Lantai SHM","Rp 2,5 Miliar","Antapani, Bandung",4,4,1,160 m²,230 m²
"Rumah Batununggal, siap huni full furnish SHM Bagus","Rp 1,95 Miliar","Buah Batu, Bandung",2,2,2,126 m²,108 m²
"rumah nyaman aman dalam cluster, 2 lantai di tengah Kota Cimahi, Istana Gardenia","Rp 1,65 Miliar","Cimahi, Bandung",3,3,1,164 m²,105 m²
"Jual Cepat Rumah Margahayu, Jl. Propelat Barat VI, Bandung",Rp 790 Juta,"Margahayu, Bandung",3,1,1,137 m²,62 m²
Rumah Baru Thi Taman Holis Indah 1m an,"Rp 1,25 Miliar","Holis Cigondewah, Bandung",3,3,0,90 m²,150 m²
Rumah Summarecon Bandung Emily Raya,Rp 7 Miliar,"Gede Bage, Bandung",4,3,2,258 m²,253 m²
Rumah Baru 1 Lantai Minimalis Siap Huni Dekat Exit Tol Margaasih,Rp 770 Juta,"Holis Cigondewah, Bandung",2,1,1,76 m²,41 m²
Kbp  Rumah Baru Kota Baru Parahyangan Punawangi Bandung,"Rp 2,24 Miliar","Kota Baru Parahyangan, Bandung",3,2,1,140 m²,96 m²
230 Juta !!! Rumah di Komplek Bentang Padalarang Regency Blok F2 No 4 dkt Kota Baru Parahyangan IKEA Tol Padalarang dan Waterpark Terbesar di Asia,Rp 230 Juta,"Padalarang, Bandung",2,1,1,70 m²,22 m²
Rumah Bagus Tanah Luas di Sayap Turangga Bandung,"Rp 3,5 Miliar","Turangga, Bandung",5,5,2,520 m²,300 m²
Rumah Siap Huni 2 Lantai di Margahayu Raya,"Rp 2,75 Miliar","Rancasari, Bandung",3,3,1,198 m²,350 m²
Jarang ada jual kost kosan murah di Dago posisi Hoek,"Rp 2,6 Miliar","Dago, Bandung",15,4,0,213 m²,350 m²
Rumah mewah 3 lantai dago pakar resort view Bandung,"Rp 6,5 Miliar","Dago, Bandung",4,4,4,320 m²,550 m²
Dijual rumah lux 2 lantai di mekar wangi,"Rp 5,7 Miliar","Mekar Wangi, Bandung",4,4,4,341 m²,450 m²
Jarang ada rumah murah lokasi strategis di suryalaya bandung kota,"Rp 1,7 Miliar","Cijagra, Bandung",6,3,1,159 m²,300 m²
Rumah Murah Siap Huni di Grand Sharon,"Rp 2,1 Miliar","Rancasari, Bandung",5,3,2,180 m²,250 m²
rumah Kota Baru Parahyangan Tatar Naganingrum,"Rp 1,85 Miliar","Kota Baru Parahyangan, Bandung",2,1,1,126 m²,65 m²
"Rumah di Summarecon, Cluster Dayana","Rp 1,1 Miliar","Gede Bage, Bandung",2,2,1,66 m²,54 m²
Rumah Murah di Grand Sharon Bandung,"Rp 1,25 Miliar","Rancasari, Bandung",3,2,1,75 m²,150 m²
"Rumah Fasilitas Kolam Renang di Komplek Megaraya Residence, Pasteur","Rp 2,2 Miliar","Gunung Batu, Bandung",3,2,2,130 m²,150 m²
Rumah cantik larangtapa siap huni di kota baru Parahyangan,"Rp 7,5 Miliar","Kota Baru Parahyangan, Bandung",5,5,4,540 m²,480 m²
Rumah Sayap Pasteur Komplek Sukamulya Main Road,"Rp 8,8 Miliar","Pasteur, Bandung",4,4,4,705 m²,400 m²
Rumah Murah Super Nyaman Siap Huni di Taman Kopo Katapang,Rp 690 Juta,"Kopo, Bandung",2,1,0,98 m²,77 m²
Rumah Nyaman Strategis di Mainroad Kopo Permai Bandung,"Rp 2,6 Miliar","Kopo, Bandung",5,6,1,234 m²,237 m²
Rumah Luas Suasana Asri di Jalan Pahlawan Suci Kota Bandung,Rp 35 Miliar,"Suci, Bandung",5,5,4,1225 m²,500 m²
"Rumah Mewah di Komplek Elite Budi Indah, Setiabudi, Bandung Utara","Rp 15,5 Miliar","Setiabudi, Bandung",7,5,2,1200 m²,900 m²
Rumah Baru dekat Tol Gedebage Bandung Timur,"Rp 1,28 Miliar","Derwati, Bandung",3,2,0,118 m²,106 m²
Rumah Cantik Siap Huni Paling Nyaman Dan Asri Dekat ke Berbagai Wisata Lembang,Rp 999 Juta,"Lembang, Bandung",2,2,2,120 m²,63 m²
Gokil Sih Rumah Dengan Budget Segini Tuh Jarang Ada Di Sumber Sari soekarno Hatta Bandung Masih Nego Lho,"Rp 2,35 Miliar","Soekarno Hatta, Bandung",2,1,1,180 m²,100 m²
"Kamu Tau Ga Ada Rumah Langka Bagus Nya Minta Ampun, Di Padasaluyu Setiabudi Bandung",Rp 16 Miliar,"Setiabudi, Bandung",4,3,8,1500 m²,600 m²
"Bestiee Exclusive Nih,rumah Beken Kawasan Buat Healing Di Setiabudi Regency Bandung",Rp 3 Miliar,"Setiabudi, Bandung",3,2,2,406 m²,150 m²
Turun Harga!Dijual Cepat Rumah Cantik Cluster Depan Batununggal Indah,"Rp 3,1 Miliar","Batununggal, Bandung",3,2,1,200 m²,156 m²
Rumah Cantik Siap huni Di Dago Resort Bandung,Rp 8 Miliar,"Dago, Bandung",7,7,0,534 m²,500 m²
Rumah di Sarijadi Bandung 2 Lantai SHM Bagus Murrah,"Rp 1,07 Miliar","Sarijadi, Bandung",3,2,1,86 m²,124 m²
Rumah Baru 2 Lantai Mewah Main Road Di Mekar Wangi Bandung,"Rp 2,95 Miliar","Mekar Wangi, Bandung",3,3,1,110 m²,165 m²
"Modern, Terawat, Bagus 1 Lantai di Sayap Turangga Bandung ,LANGKA!","Rp 3,15 Miliar","Turangga, Bandung",4,3,1,201 m²,250 m²
Rumah Cantik Eropa Kualitas Baik Bangunan Kokoh,Rp 420 Juta,"Bandung Kota, Bandung",3,1,1,80 m²,60 m²
Rumah Baru Minimalis Modern Harga Murah,Rp 200 Juta,"Cibaduyut, Bandung",2,1,1,72 m²,50 m²
Dijual Rumah Baru Renovasi Siap Huni 2 Lantai Antapani Dekat Sman 23,Rp 760 Juta,"Antapani, Bandung",3,3,0,72 m²,120 m²
"Rumah Elegant Anti Sombongg di Area Kota Baru Parahyangan, Bandung","Rp 11,5 Miliar","Kota Baru Parahyangan, Bandung",4,4,4,480 m²,470 m²
Terbukti Di Komplek Keren Ready Rumah Mantap Area Cigadung Selatan,"Rp 3,95 Miliar","Cigadung, Bandung",5,4,2,315 m²,315 m²
"Resort di Atas Awan, Minimalis Modern, 3 Lantai, Shm, 15 Menit Exit Tol, Full City View","Rp 1,67 Miliar","Cisarua, Bandung",2,2,2,120 m²,98 m²
Rumah Baru Berkonsep Soho 2 Lantai SHM Di Tengah Kota,"Rp 2,95 Miliar","Mekar Wangi, Bandung",3,3,1,110 m²,165 m²
Rumah Murah Turangga Hitung Tanah,"Rp 3,65 Miliar","Turangga, Bandung",4,3,3,368 m²,250 m²
"Rumah Megah Elegan di Setra Duta, Kota Bandung",Rp 10 Miliar,"Setra Duta, Bandung",4,4,2,375 m²,550 m²
Rumah Bagus Terawat Batununggal Dalam Cluster Favorite Bandung,Rp 6 Miliar,"Batununggal, Bandung",4,3,2,240 m²,350 m²
"Bojong Indah, Cikutra, Dago, Dekat Itb, Tol Pasteur. Rumah Baru Progress 85 Di Bandung Utara, Bandung","Rp 1,6 Miliar","Cikutra, Bandung",6,2,2,250 m²,300 m²
Rumah Lama Pusat Kota Sayap Pajajaran Bandung,Rp 8 Miliar,"Pajajaran, Bandung",5,2,0,404 m²,300 m²
Rumah Baru SOHO di Komp Mekar Wangi.,"Rp 2,95 Miliar","Mekar Wangi, Bandung",3,3,0,110 m²,165 m²
Rumah Bagus Minimalis Siap Huni di Dalam Cluster Antapani Bandung,"Rp 1,25 Miliar","Antapani, Bandung",3,2,1,137 m²,90 m²
Murah Banget Wajib Beli Rumah Kost Lux Exclusive Dago Tubagus,"Rp 12,9 Miliar","Tubagus Ismail, Bandung",25,25,6,950 m²,700 m²
Dijual Rumah Mewah di Gegerkalong Bandung,"Rp 2,3 Miliar","Geger Kalong, Bandung",5,4,0,225 m²,220 m²
Rumah Minimalis Modern di Cihanjuang Bandung,Rp 950 Juta,"Cihanjuang, Bandung",2,2,1,72 m²,53 m²
Rumah Sangat Bagus di Kota Baru Parahyangan Naganinggrum,"Rp 2,9 Miliar","Kota Baru Parahyangan, Bandung",3,1,2,190 m²,119 m²
Rumah Minimalis di Cherryfield Sayap Buahbatu Bandung,"Rp 2,7 Miliar","Buah Batu, Bandung",2,1,2,105 m²,60 m²
"Rumah Siap Huni Kota Baru Parahyangan, Modern Minimalis Murah","Rp 2,45 Miliar","Kota Baru Parahyangan, Bandung",2,1,1,126 m²,110 m²
"rumah Lux Minimalis, Kota Baru Parahyangan","Rp 2,65 Miliar","Kota Baru Parahyangan, Bandung",3,2,0,180 m²,160 m²
Rumah minimalis daerah Sayap Martanegara Bandung,"Rp 1,75 Miliar","Turangga, Bandung",2,2,1,137 m²,130 m²
Rumah 2 Lantai Baru Renovasi di Dian Permai Bandung,"Rp 1,95 Miliar","Holis Cigondewah, Bandung",4,3,0,140 m²,190 m²
"Rumah lux, siap huni di Taman Kopo Indah Bandung",Rp 3 Miliar,"Margaasih, Bandung",4,3,0,200 m²,242 m²
"Rumah Baru Di Kopo Permai, Bandung","Rp 1,2 Miliar","Kopo, Bandung",3,2,2,122 m²,120 m²
"Rumah Taman Kopo Indah, Bandung","Rp 1,1 Miliar","Taman Kopo Indah, Bandung",3,1,1,139 m²,120 m²
"Rumah Lux Taman Kopo Indah, Bandung","Rp 1,97 Miliar","Taman Kopo Indah, Bandung",5,3,2,144 m²,180 m²
Murah! rumah baru renov dibawah pasaran di puri dago mas antapani,"Rp 1,25 Miliar","Antapani, Bandung",3,2,1,137 m²,90 m²
Rumah Dan Toko di Mainroad Moch Toha,Rp 6 Miliar,"Moch Toha, Bandung",2,1,0,196 m²,200 m²
Rumah Nyaman Eksklusif di Komplek Dadali,"Rp 4,5 Miliar","Dadali, Bandung",4,2,0,360 m²,352 m²
Dijual Cepat Rumah Amaya Residence Bandung Kota,"Rp 2,9 Miliar","Bandung Kota, Bandung",3,4,2,300 m²,198 m²
"Rumah 2 Lantai Furnished SHM di Mekar Wangi, Bandung","Rp 1,35 Miliar","Mekar Wangi, Bandung",3,2,1,67 m²,95 m²
Rumah Cantik Minimalis Siap Huni Di Area Turangga Bandung,"Rp 2,95 Miliar","Turangga, Bandung",5,3,0,186 m²,200 m²
Alam Cantik Pemandangan Indah! Rumah 3 Lantai SHM Baru,"Rp 1,68 Miliar","Kota Baru Parahyangan, Bandung",3,3,2,165 m²,127 m²
"Rumah Bagus SHM di Tubagus Ismail, Bandung","Rp 4,8 Miliar","Tubagus Ismail, Bandung",4,3,2,300 m²,174 m²
"Nego Sampai Deal!! Rumah Cantik dan Bagus di Riung, Rancasari",Rp 800 Juta,"Rancasari, Bandung",3,2,1,110 m²,115 m²
Jarang Ada! Rumah Diatas Bukit Dekat Pusat Kota Bandung,"Rp 2,4 Miliar","Cimenyan, Bandung",6,4,1,279 m²,265 m²
Murah Nego! Rumah Bagus Siap Huni di Kopo,"Rp 1,9 Miliar","Kopo, Bandung",4,2,0,148 m²,208 m²
"CEPAT RUMAH MEWAH MURAAH KOMPLEK:LEMBAH SUKARESMI KARANG SETRA BANDUNG UTARA JARANG ADA  , HARGA NEGOO",Rp 10 Miliar,"Sukajadi, Bandung",5,4,4,878 m²,1000 m²
"CEPAT RUMAH KOS-KOSTAN MURAAAH &#34;JL: TUBAGUS ISMAIL CIHEULANG SEKELOA KOTA BANDUNG, JL: CIHEULANG SEKELOA BANDUNG UTARA JARANG ADA","Rp 3,5 Miliar","Dago, Bandung",19,6,1,200 m²,370 m²
Rumah mewah di komplek elit PRV Gegerkalong harga miring,"Rp 4,25 Miliar","Geger Kalong, Bandung",6,5,0,446 m²,300 m²
"Rumah baru di Buah batu, dekat perkantoran, mall, sekolah dan rumah sakit. Bangunan baru, lux dan mewah","Rp 1,7 Miliar","Buah Batu, Bandung",3,2,1,89 m²,171 m²
Rumah SHM Bagus Mekar Wangi Bandung,"Rp 2,75 Miliar","Mekar Wangi, Bandung",3,2,0,150 m²,115 m²
Rumah Bagus 2 Lantai di Setra Murni Bandung,"Rp 9,5 Miliar","Setra Murni, Bandung",4,3,1,626 m²,450 m²
Dijual Cepat Rumah Arstistik Furnish Tubagus Ismail Dago,"Rp 2,49 Miliar","Tubagus Ismail, Bandung",5,3,1,160 m²,250 m²
Dijual Rumah Klasik Komplek Bougenvile Antapani Dekat Griya,"Rp 2,69 Miliar","Antapani, Bandung",5,3,1,288 m²,150 m²
Dibawah NJOP Kost2An 19 KT Sekeloa Tubagus Ismail Dekat Unikom,"Rp 1,27 Miliar","Coblong, Bandung",19,7,0,257 m²,200 m²
Dijual Rumah Siap Huni Dekat Univ Maranatha Surya Sumantri,"Rp 3,3 Miliar","Surya Sumantri, Bandung",6,3,1,300 m²,500 m²
JUAL RUMAH MINIMALIS SIAP HUNI DEKAT TOL BUAH BATU BANDUNG STT TELKOM,Rp 970 Juta,"Batununggal, Bandung",3,3,1,74 m²,150 m²
"Rumah 3 Lantai Bagus Furnished SHM di Pasteur, Bandung","Rp 6,5 Miliar","Pasteur, Bandung",4,3,2,327 m²,460 m²
Rumah Use Office Or Kost An di Mainroad Cigadung Dago Bandung.,"Rp 2,25 Miliar","Cigadung, Bandung",8,8,0,132 m²,180 m²
Rumah Ciumbuleuit Bandung... TURUN HARGA,"Rp 7,35 Miliar","Ciumbuleuit, Bandung",8,4,0,234 m²,300 m²
Rumah Cantik Minimalis Harga Nego,Rp 185 Juta,"Cibaduyut, Bandung",2,1,1,60 m²,40 m²
Rumah berkonsep bali di jalan soekarno hatta Bandung SHM,"Rp 1,2 Miliar","Soekarno Hatta, Bandung",3,2,2,91 m²,83 m²
"Rumah Semi Furnished 2 Lantai Shm - Sertifikat Hak Milik Di Jalan Hj Alfi Kecamatan Andir Bandung Kota Jawa Barat, Bandung Kota Baru",Rp 847 Juta,"Bandung Kota, Bandung",2,2,1,40 m²,70 m²
Rumah Bagus minimalis di Cigadung 2 Lantai harga Super murah,"Rp 1,5 Miliar","Cigadung, Bandung",4,3,1,153 m²,140 m²
"Dijual Rumah terawat dan siap huni di Kopo Permai, Bandung","Rp 2,5 Miliar","Kopo, Bandung",6,3,2,330 m²,300 m²
Turun Harga! Rumah di Komplek Podomoro Park dekat exit Tol Buahbatu,"Rp 2,75 Miliar","Terusan Buah Batu, Bandung",3,3,1,170 m²,122 m²
RUMAH MURAH KOMPLEK ISTANA KAWALUYAAN DKT ANTAPANI,Rp 950 Juta,"Buah Batu, Bandung",3,2,1,102 m²,110 m²
Rumah Mewah Townhouse Diperumahan Elite Dekat Ke Toll Dan Bebas Banjir,Rp 515 Juta,"Rancaekek, Bandung",3,2,1,72 m²,50 m²
Rumah Kbp Bandung Tempo Doeloe Siap Huni Langka,"Rp 8,9 Miliar","Cipeundeuy, Bandung",4,3,2,622 m²,350 m²
Turun Harga Rumah Besar Di Permata Bojong Hitung Tanah Saja,"Rp 2,65 Miliar","Cijerah, Bandung",4,2,0,320 m²,200 m²
Rumah Lux dan Besar Setraduta Mainroad,"Rp 11,7 Miliar","Setra Duta, Bandung",4,4,0,500 m²,700 m²
Murah  cepat rumah / ruko di komplek mekarwangi kota bandung perumahan elite seperti perum batununggal singgasana pradana sumber sari kurdi taman sakura indah pratista mekar wangi summarecon podomoro park,"Rp 5,5 Miliar","Mekar Wangi, Bandung",4,3,5,327 m²,400 m²
Perumahan mewah type 72/100 promo 275jt spek bata merah,Rp 275 Juta,"Baleendah, Bandung",4,2,1,101 m²,73 m²
Kost Surya Sumantri Dekat Universitas Maranatha Strategis,"Rp 6,99 Miliar","Surya Sumantri, Bandung",16,14,4,364 m²,300 m²
Rumah Baru Mewah Singgasana Pradana Ekslusif Bahan Bahan Terbaik,"Rp 4,14 Miliar","Cibaduyut, Bandung",4,3,3,157 m²,250 m²
"Rumah Shm, Kotak, Jalan Sayap Riau, Bandung",Rp 18 Miliar,"Riau, Bandung",5,2,0,538 m²,300 m²
"Rumah Jalan Riau, Bandung Strategis, Lokasi Terbaik",Rp 45 Miliar,"Riau, Bandung",3,3,0,1066 m²,300 m²
Rumah Sayap Riau Sertifikat Hak Milik Ngantong Jarang Ada,"Rp 14,9 Miliar","Riau, Bandung",4,6,2,543 m²,450 m²
"Rumah Mewah 2 Lantai Baru Mekar Wangi, Bandung Sertifikat Hak Milik, Bisa Kpr","Rp 2,95 Miliar","Mekar Wangi, Bandung",3,3,2,110 m²,165 m²
Rumah Apik Sayap Setraduta,Rp 795 Juta,"Sukasari, Bandung",2,2,0,56 m²,110 m²
"Rumah Cocok Kost Kostan, 90 Meter Ke Kantor Dprd Kota Bandung","Rp 1,3 Miliar","Batununggal, Bandung",6,3,1,99 m²,146 m²
Perumahan murah dibandung,Rp 134 Juta,"Baleendah, Bandung",2,1,1,50 m²,36 m²
Rumah murah siap huni cibiru shm bebas banjir,Rp 450 Juta,"Cibiru, Bandung",2,3,1,70 m²,85 m²
Rumah Cijawura Girang Dekat UNINUS Carefour Samsat Kiaracondong,"Rp 2,9 Miliar","Kiaracondong, Bandung",10,4,2,425 m²,250 m²
Rumah Cantik Buah Batu Regency,"Rp 2,5 Miliar","Buah Batu, Bandung",5,5,0,168 m²,180 m²
Rumah murah bandung bebas banjir shm bandung,Rp 227 Juta,"Bojongsoang, Bandung",2,1,1,60 m²,36 m²
"Rumah di Setra Duta Bandung, Lokasi Strategis","Rp 2,62 Miliar","Setra Duta, Bandung",3,2,0,76 m²,225 m²
"Rumah di Jalan Kembar Timur Kota Bandung, Harga Menarik","Rp 2,5 Miliar","BKR, Bandung",3,3,1,181 m²,150 m²
Rumah Eropa Skandinavian Lokasi Strategis dekat Gerbang Utama,Rp 550 Juta,"Bandung Kota, Bandung",3,2,1,120 m²,80 m²
Rumah Kredit Modern Kualitas sangat baik,Rp 730 Juta,"Bandung Kota, Bandung",3,2,1,112 m²,90 m²
Rumah Cluster Siap Huni Nyaman dan Bebas Banjir,Rp 210 Juta,"Terusan Buah Batu, Bandung",2,1,1,60 m²,40 m²
Rumah lama akses lebar di sayap Pasirkaliki,"Rp 8,5 Miliar","Pasir Kaliki, Bandung",7,3,2,416 m²,200 m²
Rumah Mewah Asri Dan Siap Huni Komplek Batu Indah Bandung,"Rp 4,5 Miliar","Buah Batu, Bandung",4,3,2,390 m²,320 m²
Rumah Singgasana Haven Lux Hadap Timur,"Rp 4,5 Miliar","Mekar Wangi, Bandung",4,3,0,160 m²,240 m²
Rumah 2 Lantai Bagus Podomoro Park Bandung,"Rp 4,81 Miliar","Bandung Kota, Bandung",4,3,2,222 m²,156 m²
Rumah Terawat Siap Huni di Dalam Komplek Riung Bandung,"Rp 1,3 Miliar","Soekarno Hatta, Bandung",4,2,0,156 m²,150 m²
Rumah plus kost2an murah kanayakan dago strategis,"Rp 2,6 Miliar","Cibeunying, Bandung",15,5,0,213 m²,359 m²
RUMAH 2 LANTAI SIAP HUNI MARGAHAYU RAYA BANDUNG TIMUR,Rp 990 Juta,"Ciwastra, Bandung",3,3,1,120 m²,150 m²
Dijual Cepat Rumah Bagus Harga Bagus Dlm Komplek Podomoro Park,"Rp 2,55 Miliar","Buah Batu, Bandung",4,3,1,127 m²,127 m²
JARANG ADA!  ~ RUMAH MUARA ~ SIAP PAKAI MURAH!,"Rp 1,5 Miliar","Muara, Bandung",3,2,1,105 m²,120 m²
RUMAH AREA TOHA BKR PETA SIAP PAKAI MURAH,"Rp 2,1 Miliar","Astanaanyar, Bandung",4,2,1,130 m²,230 m²
Rumah Baru Siap Pakai Semi Furnished SHM di THI 2,"Rp 2,2 Miliar","Holis Cigondewah, Bandung",3,3,2,190 m²,170 m²
Top Bgt Wajib Check Hunian Turun Harga Again di Kota Baru Parahyangan,"Rp 7,5 Miliar","Kota Baru Parahyangan, Bandung",5,5,1,550 m²,440 m²
"Rumah Asri di Sayap Hegarmanah, Ciumbuleuit Bandung","Rp 9,9 Miliar","Ciumbuleuit, Bandung",4,3,3,660 m²,275 m²
Rumah Baru 2 Lantai Sangat Murah di Sayap Mekar Wangi,"Rp 1,45 Miliar","Mekar Wangi, Bandung",3,2,1,72 m²,105 m²
Rumah Baru Keren Minimalis di Setiabudi Regensi,"Rp 4,25 Miliar","Setiabudi, Bandung",4,3,3,376 m²,190 m²
Rumah Baru Minimalis di Cluster Eksklusif Kopo Permai,"Rp 1,59 Miliar","Kopo, Bandung",3,3,2,112 m²,160 m²
Rumah Super Mewah Minimalis Tropical di Setra Duta,"Rp 13,5 Miliar","Setra Duta, Bandung",4,5,2,390 m²,600 m²
Rumah Baru Minimalis Dan Hommy di Mekar Wangi,"Rp 3,25 Miliar","Mekar Wangi, Bandung",4,3,2,169 m²,180 m²
Rumah Murah lokasi Strategis SHM di Bandung,Rp 650 Juta,"Buah Batu, Bandung",3,2,0,200 m²,120 m²
Rumah Murah di Almaas Bandung,Rp 240 Juta,"Moch Toha, Bandung",2,1,1,80 m²,50 m²
Rumah Murah lokasi Strategis SHM di Bandung,Rp 450 Juta,"Taman Kopo Indah, Bandung",3,2,0,120 m²,80 m²
Rumah baru minimalis @ Sariwangi Asri (ready 3 unit),"Rp 1,5 Miliar","Sariwangi, Bandung",3,2,2,98 m²,90 m²
Rumah Baru @Setiabudi Regency + Private Pool,"Rp 4,25 Miliar","Setiabudi, Bandung",4,4,3,376 m²,190 m²
rumah baru @ Budisari,"Rp 3,75 Miliar","Setiabudi, Bandung",3,3,0,200 m²,300 m²
Rumah cantik minimalis siap huni di Taman holis indah 1,"Rp 1,47 Miliar","Holis Cigondewah, Bandung",2,1,1,162 m²,130 m²
cepat rumah Batununggal,"Rp 1,75 Miliar","Batununggal, Bandung",4,2,1,126 m²,160 m²
"Rumah Bagus Minimalis Modern Di Citra Green Dago, Fully Furnished, Ada Kolam Renang","Rp 2,8 Miliar","Dago, Bandung",4,4,2,146 m²,280 m²
"Rumah Bagus Unfurnished SHM di Cibaduyut, Bandung",Rp 749 Juta,"Cibaduyut, Bandung",3,2,1,95 m²,50 m²
"Rumah Bagus Furnished di Singgasana Pradana , Bandung","Rp 3,7 Miliar","Mekar Wangi, Bandung",3,2,0,200 m²,150 m²
Rumah Mewah Murah di Larang Tapa Kota Baru Parahyangan,"Rp 7,5 Miliar","Kota Baru Parahyangan, Bandung",5,5,2,540 m²,440 m²
Turun Harga! Rumah Nyaman di Puri Tirta Kencana Ahmad Yani Cicaheum,"Rp 2,15 Miliar","Cicaheum, Bandung",5,3,0,130 m²,300 m²
Turun Harga Rumah Kostan Antapani Bandung,Rp 947 Juta,"Antapani, Bandung",12,4,1,163 m²,200 m²
Turun Harga Rumah Murah Siap Huni Antapani Arcamanik Bandung,"Rp 1,3 Miliar","Antapani, Bandung",3,1,1,187 m²,144 m²
Rumah Lama Terawat Komplek Antapani Bandung,Rp 800 Juta,"Antapani, Bandung",2,1,1,104 m²,60 m²
Dijual Rumah Mewah Cantik Ada Kolam Renang Ciumbuleuit Bandung,"Rp 8,99 Miliar","Ciumbuleuit, Bandung",3,3,3,351 m²,400 m²
"Rumah TKI 1 dengan Spek Luas dan Nyaman - Harga 1,1M Nego","Rp 1,1 Miliar","Taman Kopo Indah, Bandung",4,2,0,102 m²,156 m²
"Rumah Minimalis Siap Huni, Blok Favorit Harga Miring",Rp 2 Miliar,"Taman Kopo Indah, Bandung",3,2,1,153 m²,115 m²
"1.  Rumah Mewah di Taman Kopo Indah Rumah Ideal Untuk Keluarga Lokasi Strategis, Akses Mudah Ke Fasilitas Umum. Bangunan Luas Dengan 3 Kamar Tidur, 2 Kamar Mandi, Ruang Tamu Dapur. Taman Bersih Asri, Lingkungan Nyaman. Harga Terjangkau, Investasi Terb","Rp 1,27 Miliar","Taman Kopo Indah, Bandung",3,2,2,80 m²,120 m²
Rumah Bagus Dalam Cluster Favorite di Batununggal Bandung,"Rp 6,5 Miliar","Batununggal, Bandung",4,3,3,300 m²,350 m²
Rumah baru renov Setiabudi Regency Bandung mewah model American Tropical Classic,"Rp 5,88 Miliar","Setiabudi, Bandung",5,4,3,664 m²,555 m²
Rumah Mainroad Renov Siap Huni di Suryalaya Bandung,"Rp 1,89 Miliar","Lengkong, Bandung",2,2,0,100 m²,135 m²
Rumah cantik sekali mekarwangi dekat singgasana pradana,"Rp 5,75 Miliar","Mekar Wangi, Bandung",5,4,1,200 m²,550 m²
Masuk gang !! Rumah kost baru full okupansi cisitu dalam,"Rp 1,97 Miliar","Coblong, Bandung",7,7,0,100 m²,214 m²
"Rumah kawaluyaan dekat kiaracondong, arcamanik, antapani","Rp 1,9 Miliar","Kiaracondong, Bandung",5,3,1,189 m²,300 m²
"Rumah cantik arcamanik dekat antapani, cisaranten bandung","Rp 1,1 Miliar","Arcamanik, Bandung",4,2,0,132 m²,95 m²
Rumah Minimalis Full Renov Taman Kopo Indah 2 dekat holis,"Rp 1,44 Miliar","Taman Kopo Indah, Bandung",3,2,0,135 m²,125 m²
"Rumah baru cisaranten kulon dekat arcamanik, antapani","Rp 1,1 Miliar","Arcamanik, Bandung",3,2,0,95 m²,82 m²
Dijual Rumah Super Lux Furnished di Setraduta,"Rp 17,5 Miliar","Setra Duta, Bandung",5,3,4,815 m²,600 m²
Rumah Murah Hitung Tanah Sayap Lengkong,"Rp 2,95 Miliar","Ciateul, Bandung",5,2,3,350 m²,300 m²
Dijual Rumah Hitung Tanah Turangga Pasir Salam,"Rp 3,6 Miliar","Regol, Bandung",4,2,0,411 m²,330 m²
Rumah Mewah Fully Furnish di Setraduta,Rp 6 Miliar,"Setra Duta, Bandung",3,3,2,363 m²,400 m²
"Rumah Impian Keluarga Yang Nyaman di Lingkungan Tenang di Kumala Garden, paster","Rp 5,25 Miliar","Pasteur, Bandung",5,5,1,320 m²,473 m²
hunian minimalis berkelas premium,Rp 261 Juta,"Taman Kopo Indah, Bandung",2,1,0,60 m²,84 m²
Jual rumah siap huni sudah full renov dalam komplek di turangga,"Rp 3,2 Miliar","Turangga, Bandung",3,2,1,280 m²,180 m²
Rumah Minimalis Siap Huni Batununggal Bandung,"Rp 4,65 Miliar","Batununggal, Bandung",5,6,1,240 m²,365 m²
